,name,tp,num,stocks
20,中证红利,zs,100,"['000090', '000157', '000429', '000581', '000651', '000830', '000895', '000932', '000937', '000983', '002048', '002088', '002233', '002267', '002327', '002416', '002563', '002601', '002737', '002867', '002932', '600000', '600012', '600015', '600016', '600019', '600028', '600039', '600057', '600064', '600123', '600153', '600177', '600188', '600256', '600273', '600282', '600295', '600325', '600348', '600350', '600373', '600377', '600395', '600398', '600461', '600546', '600548', '600585', '600694', '600729', '600741', '600755', '600757', '600782', '600901', '600919', '600971', '600985', '600997', '601000', '601006', '601009', '601019', '601077', '601088', '601098', '601101', '601166', '601168', '601169', '601216', '601225', '601229', '601288', '601318', '601328', '601398', '601636', '601658', '601666', '601668', '601699', '601818', '601825', '601838', '601857', '601919', '601928', '601939', '601963', '601988', '601997', '601998', '603565', '603706', '603878', '605368', '688606', '834599']"
21,中证回购,zs,100,"['000501', '000513', '000528', '000601', '000623', '000703', '000731', '000818', '001215', '001283', '001288', '001296', '002020', '002029', '002034', '002056', '002083', '002132', '002203', '002206', '002271', '002322', '002350', '002392', '002398', '002432', '002537', '002570', '002661', '002663', '002706', '002708', '002727', '002728', '002759', '002772', '002787', '002845', '002967', '002988', '003010', '003012', '003038', '300138', '300181', '300435', '300443', '300597', '300616', '300740', '300802', '300829', '300863', '300884', '300938', '301047', '301077', '301099', '301335', '600212', '600252', '600351', '600380', '600507', '600516', '600557', '600639', '600810', '600894', '600987', '601609', '601666', '601717', '601880', '603008', '603035', '603077', '603081', '603117', '603306', '603312', '603333', '603477', '603500', '603713', '603858', '603919', '605266', '605589', '688077', '688181', '688186', '688238', '688298', '688326', '688381', '688458', '688503', '688621', '688696']"
22,红利低波,zs,50,"['001965', '002027', '002032', '002469', '002540', '002543', '002807', '002867', '002966', '600007', '600015', '600016', '600036', '600039', '600153', '600177', '600282', '600350', '600373', '600377', '600502', '600737', '600820', '600919', '600941', '600985', '601006', '601009', '601077', '601166', '601169', '601187', '601216', '601225', '601229', '601288', '601318', '601328', '601398', '601577', '601658', '601668', '601825', '601838', '601857', '601939', '601963', '601988', '601998', '605377']"
23,深主板50,zs,50,"['000001', '000002', '000063', '000100', '000157', '000333', '000338', '000425', '000538', '000568', '000617', '000625', '000651', '000661', '000708', '000725', '000792', '000807', '000858', '000895', '000921', '000938', '000963', '000977', '000983', '000999', '001872', '001965', '001979', '002001', '002027', '002142', '002179', '002230', '002236', '002241', '002304', '002311', '002352', '002371', '002415', '002422', '002475', '002493', '002594', '002600', '002648', '002714', '002938', '003816']"
24,创业大盘,zs,50,"['300014', '300015', '300033', '300037', '300059', '300115', '300122', '300124', '300207', '300223', '300251', '300274', '300308', '300316', '300347', '300394', '300408', '300413', '300418', '300433', '300442', '300450', '300454', '300458', '300474', '300476', '300496', '300502', '300628', '300661', '300699', '300750', '300751', '300759', '300760', '300765', '300782', '300803', '300832', '300866', '300896', '300919', '300979', '301165', '301236', '301269', '301301', '301358', '301536', '302132']"
25,创业板50,zs,50,"['300001', '300002', '300014', '300015', '300017', '300024', '300033', '300058', '300059', '300073', '300115', '300122', '300124', '300136', '300207', '300223', '300251', '300274', '300308', '300316', '300339', '300346', '300347', '300373', '300394', '300408', '300413', '300418', '300433', '300442', '300450', '300458', '300474', '300476', '300496', '300502', '300604', '300724', '300735', '300750', '300759', '300760', '300763', '300782', '300803', '300896', '301236', '301301', '301308', '302132']"
26,创业200,zs,200,"['300007', '300009', '300026', '300031', '300035', '300036', '300045', '300048', '300049', '300053', '300065', '300068', '300072', '300075', '300077', '300079', '300080', '300083', '300087', '300088', '300100', '300101', '300109', '300113', '300118', '300123', '300127', '300130', '300131', '300133', '300134', '300140', '300143', '300145', '300151', '300166', '300168', '300170', '300171', '300181', '300182', '300183', '300184', '300185', '300188', '300199', '300206', '300217', '300224', '300226', '300229', '300232', '300236', '300252', '300255', '300257', '300260', '300267', '300276', '300284', '300294', '300296', '300298', '300303', '300315', '300319', '300327', '300348', '300352', '300355', '300357', '300363', '300364', '300366', '300377', '300378', '300382', '300393', '300398', '300401', '300406', '300409', '300415', '300416', '300428', '300432', '300438', '300443', '300446', '300451', '300455', '300456', '300457', '300459', '300463', '300470', '300475', '300482', '300492', '300525', '300527', '300568', '300570', '300573', '300576', '300580', '300593', '300596', '300598', '300602', '300607', '300613', '300618', '300620', '300624', '300633', '300634', '300638', '300641', '300655', '300657', '300660', '300671', '300672', '300674', '300678', '300682', '300685', '300687', '300693', '300702', '300705', '300708', '300718', '300723', '300725', '300726', '300738', '300747', '300755', '300762', '300768', '300770', '300772', '300773', '300777', '300779', '300783', '300791', '300811', '300815', '300820', '300821', '300827', '300841', '300846', '300850', '300855', '300856', '300861', '300869', '300894', '300900', '300910', '300972', '300973', '301015', '301035', '301039', '301050', '301069', '301071', '301078', '301080', '301090', '301091', '301095', '301153', '301155', '301171', '301200', '301205', '301219', '301238', '301239', '301262', '301291', '301297', '301316', '301327', '301363', '301371', '301381', '301487', '301510', '301511', '301522', '301551', '301589', '301606']"
27,创业300,zs,300,"['300001', '300002', '300003', '300008', '300009', '300012', '300014', '300015', '300017', '300024', '300026', '300031', '300033', '300034', '300035', '300036', '300037', '300045', '300049', '300053', '300054', '300058', '300059', '300068', '300070', '300072', '300073', '300075', '300077', '300079', '300080', '300083', '300085', '300087', '300088', '300100', '300101', '300113', '300115', '300118', '300119', '300122', '300124', '300130', '300133', '300134', '300136', '300140', '300142', '300144', '300146', '300151', '300166', '300168', '300170', '300171', '300180', '300181', '300182', '300183', '300184', '300185', '300188', '300199', '300203', '300207', '300212', '300217', '300223', '300224', '300229', '300232', '300236', '300244', '300251', '300253', '300255', '300257', '300260', '300274', '300284', '300285', '300294', '300296', '300298', '300303', '300308', '300315', '300316', '300319', '300323', '300327', '300339', '300346', '300347', '300348', '300352', '300357', '300363', '300364', '300373', '300383', '300390', '300394', '300395', '300398', '300406', '300408', '300409', '300413', '300415', '300418', '300428', '300432', '300433', '300438', '300442', '300446', '300450', '300451', '300454', '300455', '300456', '300457', '300458', '300459', '300463', '300470', '300474', '300475', '300476', '300482', '300487', '300492', '300493', '300496', '300498', '300502', '300525', '300527', '300529', '300558', '300567', '300568', '300570', '300573', '300576', '300579', '300580', '300595', '300598', '300601', '300602', '300604', '300607', '300613', '300618', '300620', '300623', '300624', '300627', '300628', '300633', '300634', '300638', '300641', '300655', '300657', '300660', '300661', '300663', '300666', '300671', '300672', '300674', '300676', '300677', '300678', '300679', '300682', '300685', '300687', '300693', '300699', '300705', '300718', '300723', '300724', '300725', '300726', '300735', '300738', '300747', '300748', '300750', '300751', '300755', '300757', '300759', '300760', '300761', '300762', '300763', '300765', '300766', '300768', '300769', '300770', '300772', '300773', '300775', '300776', '300777', '300779', '300782', '300783', '300803', '300811', '300820', '300821', '300827', '300832', '300841', '300850', '300855', '300856', '300857', '300861', '300866', '300870', '300888', '300896', '300910', '300913', '300919', '300926', '300953', '300957', '300972', '300979', '300990', '300999', '301004', '301015', '301018', '301029', '301031', '301035', '301039', '301047', '301050', '301061', '301071', '301078', '301087', '301090', '301091', '301095', '301153', '301155', '301165', '301171', '301175', '301200', '301205', '301207', '301217', '301219', '301236', '301238', '301239', '301262', '301267', '301269', '301291', '301293', '301297', '301301', '301308', '301316', '301327', '301339', '301358', '301363', '301371', '301376', '301381', '301487', '301498', '301508', '301510', '301511', '301522', '301536', '301551', '301558', '301589', '301606', '301611', '302132']"
28,创业小盘,zs,300,"['300005', '300008', '300019', '300025', '300027', '300032', '300039', '300040', '300041', '300042', '300046', '300047', '300057', '300061', '300063', '300067', '300098', '300099', '300102', '300107', '300119', '300120', '300128', '300129', '300138', '300160', '300161', '300172', '300174', '300177', '300179', '300193', '300194', '300197', '300203', '300204', '300222', '300227', '300228', '300231', '300241', '300244', '300249', '300250', '300256', '300258', '300261', '300263', '300265', '300278', '300286', '300287', '300288', '300291', '300292', '300293', '300302', '300304', '300307', '300310', '300314', '300320', '300324', '300328', '300337', '300341', '300342', '300349', '300350', '300351', '300353', '300354', '300360', '300369', '300374', '300380', '300381', '300384', '300386', '300389', '300396', '300397', '300400', '300403', '300411', '300420', '300425', '300429', '300435', '300439', '300444', '300447', '300448', '300460', '300465', '300467', '300468', '300480', '300481', '300489', '300490', '300494', '300499', '300503', '300507', '300510', '300516', '300520', '300522', '300533', '300537', '300540', '300541', '300542', '300545', '300548', '300551', '300552', '300559', '300560', '300563', '300565', '300566', '300569', '300577', '300578', '300579', '300581', '300582', '300586', '300587', '300589', '300590', '300592', '300603', '300617', '300619', '300622', '300629', '300632', '300636', '300648', '300653', '300656', '300663', '300667', '300680', '300681', '300684', '300688', '300690', '300698', '300700', '300706', '300709', '300711', '300712', '300719', '300722', '300729', '300733', '300739', '300752', '300758', '300769', '300781', '300785', '300787', '300788', '300790', '300793', '300795', '300796', '300802', '300806', '300809', '300814', '300822', '300825', '300830', '300831', '300833', '300842', '300847', '300848', '300852', '300863', '300872', '300873', '300880', '300890', '300895', '300903', '300905', '300908', '300911', '300917', '300925', '300926', '300933', '300941', '300951', '300962', '300968', '300969', '300975', '300978', '300982', '300990', '300996', '301000', '301004', '301017', '301018', '301021', '301025', '301026', '301030', '301031', '301047', '301048', '301051', '301058', '301061', '301073', '301087', '301096', '301099', '301101', '301102', '301109', '301116', '301123', '301127', '301149', '301150', '301152', '301162', '301168', '301175', '301177', '301179', '301180', '301191', '301195', '301207', '301211', '301215', '301217', '301260', '301263', '301266', '301268', '301285', '301293', '301302', '301307', '301325', '301328', '301330', '301333', '301339', '301345', '301348', '301349', '301366', '301367', '301368', '301370', '301376', '301377', '301382', '301383', '301391', '301392', '301393', '301408', '301413', '301421', '301439', '301486', '301488', '301500', '301508', '301509', '301516', '301517', '301525', '301538', '301550', '301556', '301558', '301565', '301566', '301571', '301592', '301600', '301608', '301626', '301628']"
29,创业创新,zs,100,"['300001', '300002', '300009', '300012', '300014', '300017', '300033', '300034', '300037', '300054', '300113', '300115', '300119', '300124', '300136', '300206', '300207', '300274', '300285', '300298', '300304', '300308', '300346', '300349', '300351', '300373', '300378', '300394', '300395', '300396', '300406', '300408', '300415', '300416', '300433', '300445', '300446', '300450', '300454', '300457', '300458', '300482', '300487', '300489', '300496', '300508', '300515', '300525', '300529', '300545', '300558', '300568', '300573', '300602', '300604', '300613', '300627', '300628', '300633', '300634', '300638', '300661', '300666', '300679', '300693', '300705', '300711', '300724', '300725', '300729', '300750', '300751', '300760', '300763', '300768', '300776', '300789', '300790', '300797', '300820', '300827', '300832', '300866', '300896', '300957', '301031', '301095', '301162', '301165', '301195', '301200', '301221', '301269', '301308', '301363', '301367', '301383', '301589', '301606', '301607']"
