name,code,block,block5,num,stocks
水泥,880346,T020602,T0206,23,"['000401', '000672', '000789', '000877', '000935', '002205', '002233', '002302', '002596', '002671', '002742', '003037', '600326', '600425', '600449', '600585', '600668', '600678', '600801', '600802', '601992', '603616', '605122']"
玻璃,880347,T020603,T0206,18,"['000012', '002080', '002201', '002623', '300196', '300395', '301188', '301526', '600176', '600293', '600586', '600819', '600876', '601636', '601865', '603256', '603601', '605006']"
其他建材,880348,T020604,T0206,29,"['000055', '000619', '000786', '001212', '001296', '002043', '002066', '002225', '002247', '002271', '002333', '002372', '002377', '002392', '002398', '002652', '002718', '002785', '002791', '300374', '300715', '300737', '301010', '301429', '603969', '605318', '688119', '920580', '920792']"
造纸,880350,T0207,T0207,33,"['000488', '001206', '002012', '002067', '002078', '002235', '002303', '002511', '002521', '002565', '003006', '300883', '301009', '301469', '301501', '600103', '600235', '600308', '600356', '600433', '600567', '600793', '600963', '600966', '603165', '603607', '603733', '603863', '605007', '605009', '605377', '605500', '920394']"
矿物制品,880351,T0208,T0208,36,"['000795', '000970', '001269', '001359', '002057', '002088', '300127', '300179', '300224', '300554', '300700', '300728', '300748', '300811', '300835', '300861', '301071', '301141', '301622', '600172', '600366', '600516', '603072', '603612', '603688', '605086', '688077', '688190', '688300', '688398', '688598', '688733', '920179', '920641', '920675', '920725']"
日用化工,880355,T0301,T0301,20,"['001328', '002094', '002637', '300740', '300856', '300955', '300957', '301108', '301283', '301371', '600223', '600249', '600315', '603059', '603193', '603605', '603630', '603983', '920016', '920123']"
农林牧渔,880360,T0302,T0302,96,"['000019', '000048', '000061', '000592', '000638', '000663', '000702', '000713', '000735', '000798', '000876', '000930', '000998', '001201', '001313', '001366', '002041', '002069', '002086', '002100', '002124', '002141', '002157', '002234', '002299', '002311', '002321', '002385', '002458', '002548', '002567', '002679', '002688', '002696', '002714', '002746', '002772', '002868', '002891', '002982', '300087', '300094', '300119', '300189', '300268', '300313', '300498', '300511', '300673', '300761', '300871', '300967', '300970', '301156', '301498', '600097', '600108', '600127', '600195', '600201', '600251', '600257', '600265', '600299', '600313', '600354', '600359', '600371', '600467', '600540', '600598', '600866', '600883', '600965', '600975', '601952', '603151', '603336', '603363', '603477', '603566', '603609', '603668', '603717', '603718', '603739', '605296', '688098', '688156', '688526', '920087', '920275', '920403', '920419', '920729', '920970']"
种植业,880361,T030201,T0302,19,"['000713', '000998', '002041', '002772', '300087', '300189', '300511', '300970', '600108', '600313', '600354', '600359', '600371', '600540', '600598', '600883', '601952', '920087', '920403']"
渔业,880362,T030202,T0302,7,"['000798', '002069', '002086', '300094', '600097', '600257', '600467']"
林业,880363,T030203,T0302,4,"['000592', '000663', '002679', '600265']"
饲料,880364,T030204,T0302,23,"['000702', '000876', '001313', '001366', '002100', '002311', '002385', '002548', '002567', '002696', '002891', '300673', '301156', '301498', '600299', '600866', '603151', '603363', '603609', '603668', '688156', '920419', '920970']"
